CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346,19,24,10641.53,2,Champions
12347,110,1,186.49,3,Hibernating
12348,20,4,2896.93,1,Loyal Customers
12349,354,4,1659.41,0,At Risk
12350,33,11,3811.17,1,Loyal Customers
12351,67,15,5215.23,1,Loyal Customers
12352,317,2,114.13,3,Hibernating
12353,46,2,315.79,0,At Risk
12354,186,2,611.32,0,At Risk
12355,33,7,2345.61,1,Loyal Customers
12356,55,3,564.92,0,At Risk
12357,33,8,922.24,1,Loyal Customers
12358,188,1,76.71,3,Hibernating
12359,16,5,942.85,1,Loyal Customers
12360,55,7,2122.16,1,Loyal Customers
12361,40,1,82.08,0,At Risk
12362,37,6,2056.55,1,Loyal Customers
12363,261,1,90.37,3,Hibernating
12364,180,1,102.85,3,Hibernating
12365,158,2,492.88,0,At Risk
12366,61,5,499.51,0,At Risk
12367,40,4,895.93,1,Loyal Customers
12368,262,1,106.99,3,Hibernating
12369,54,2,342.74,0,At Risk
12370,31,4,1942.55,1,Loyal Customers
12371,373,1,68.09,3,Hibernating
12372,256,1,373.32,3,Hibernating
12373,79,10,2240.12,1,Loyal Customers
12374,94,7,1910.32,1,Loyal Customers
12375,124,3,926.28,0,At Risk
12376,228,1,118.49,3,Hibernating
12377,145,3,1179.74,0,At Risk
12378,68,6,1965.29,1,Loyal Customers
12379,80,12,4666.29,1,Loyal Customers
12380,39,4,2109.12,1,Loyal Customers
12381,1,28,17564.0,2,Champions
12382,281,1,103.5,3,Hibernating
12383,18,31,21703.07,2,Champions
12384,47,6,1213.87,1,Loyal Customers
12385,217,1,395.14,3,Hibernating
12386,63,11,3658.6,1,Loyal Customers
12387,41,2,333.87,0,At Risk
12388,186,1,88.91,3,Hibernating
12389,3,35,15306.26,2,Champions
12390,256,1,373.71,3,Hibernating
12391,13,34,36948.29,2,Champions
12392,39,9,1126.31,1,Loyal Customers
12393,181,2,506.34,0,At Risk
12394,48,3,621.24,0,At Risk
12395,110,1,209.26,3,Hibernating
12396,24,10,4254.36,1,Loyal Customers
12397,66,1,126.24,3,Hibernating
12398,1,32,20902.85,2,Champions
12399,139,1,81.18,3,Hibernating
12400,48,2,479.9,0,At Risk
12401,181,1,124.34,3,Hibernating
12402,1,26,10152.79,2,Champions
12403,78,3,1455.44,0,At Risk
12404,46,5,1030.21,1,Loyal Customers
12405,34,7,1962.71,1,Loyal Customers
12406,80,3,365.35,0,At Risk
12407,25,24,13070.05,2,Champions
12408,21,3,901.48,1,Loyal Customers
12409,135,1,78.61,3,Hibernating
12410,40,25,6508.86,2,Champions
12411,21,2,570.08,0,At Risk
12412,86,4,1861.66,1,Loyal Customers
12413,185,1,177.3,3,Hibernating
12414,7,44,30419.44,2,Champions
12415,12,32,14442.5,2,Champions
12416,60,5,1980.2,1,Loyal Customers
12417,201,2,204.29,3,Hibernating
12418,71,3,244.41,0,At Risk
12419,138,4,119.83,3,Hibernating
12420,286,1,129.51,3,Hibernating
12421,222,1,146.43,3,Hibernating
12422,59,7,1091.84,1,Loyal Customers
12423,58,1,211.09,0,At Risk
12424,16,9,3704.12,1,Loyal Customers
12425,16,22,11817.34,2,Champions
12426,43,1,136.29,0,At Risk
12427,171,2,235.85,3,Hibernating
12428,51,4,443.4,0,At Risk
12429,13,19,11866.47,2,Champions
12430,70,1,104.52,3,Hibernating
12431,201,1,98.94,3,Hibernating
12432,69,4,1481.87,1,Loyal Customers
12433,187,1,257.25,3,Hibernating
12434,147,1,80.13,3,Hibernating
12435,40,4,2324.47,1,Loyal Customers
12436,134,1,165.06,3,Hibernating
12437,23,4,1141.27,1,Loyal Customers
12438,76,2,440.25,0,At Risk
12439,85,2,483.12,0,At Risk
12440,5,19,6108.75,2,Champions
12441,332,2,914.87,3,Hibernating
12442,186,2,1101.57,0,At Risk
12443,20,8,1274.93,1,Loyal Customers
12444,101,1,186.7,3,Hibernating
12445,25,7,969.02,1,Loyal Customers
12446,19,13,7348.3,2,Champions
12447,70,4,721.67,0,At Risk
12448,13,9,8075.34,2,Champions
12449,169,1,84.3,3,Hibernating
12450,58,1,119.01,3,Hibernating
12451,244,2,303.02,3,Hibernating
12452,65,3,660.5,0,At Risk
12453,17,4,788.86,1,Loyal Customers
12454,373,1,69.01,3,Hibernating
12455,189,1,230.55,3,Hibernating
12456,43,6,1508.99,1,Loyal Customers
12457,230,1,135.2,3,Hibernating
12458,20,8,2548.87,1,Loyal Customers
12459,13,33,43571.03,2,Champions
12460,35,7,2834.88,1,Loyal Customers
12461,25,6,1314.07,1,Loyal Customers
12462,278,1,319.26,3,Hibernating
12463,357,2,452.19,3,Hibernating
12464,35,1,190.25,0,At Risk
12465,53,11,1797.77,1,Loyal Customers
12466,46,16,2121.02,1,Loyal Customers
12467,55,21,26636.39,2,Champions
12468,191,1,460.4,3,Hibernating
12469,20,35,14645.78,2,Champions
12470,71,1,457.11,0,At Risk
12471,61,2,348.67,0,At Risk
12472,191,1,293.99,3,Hibernating
12473,5,15,6363.71,2,Champions
12474,36,6,1456.51,1,Loyal Customers
12475,296,1,156.54,3,Hibernating
12476,69,6,2190.27,1,Loyal Customers
12477,67,10,3533.39,1,Loyal Customers
12478,284,1,244.13,3,Hibernating
12479,373,1,271.9,3,Hibernating
12480,63,3,1251.55,0,At Risk
12481,342,1,67.35,3,Hibernating
12482,17,27,14677.72,2,Champions
12483,303,1,101.02,3,Hibernating
12484,83,8,1953.29,1,Loyal Customers
12485,68,5,745.17,0,At Risk
12486,20,28,19730.34,2,Champions
12487,244,4,589.64,0,At Risk
12488,111,1,104.22,3,Hibernating
12489,11,6,1368.05,1,Loyal Customers
12490,38,4,1185.42,1,Loyal Customers
12491,44,11,2721.01,1,Loyal Customers
12492,11,15,4017.11,2,Champions
12493,373,1,53.45,3,Hibernating
12494,15,47,19052.31,2,Champions
12495,331,1,74.89,3,Hibernating
12496,136,2,129.47,3,Hibernating
12497,10,14,6510.68,2,Champions
12498,109,1,129.94,3,Hibernating
12499,297,1,191.0,3,Hibernating
12500,84,1,69.36,3,Hibernating
12501,130,1,233.93,3,Hibernating
12502,26,9,3647.1,1,Loyal Customers
12503,12,14,12000.07,2,Champions
12504,200,1,103.02,3,Hibernating
12505,5,5,1773.06,1,Loyal Customers
12506,76,3,693.03,0,At Risk
12507,142,1,45.44,3,Hibernating
12508,52,2,910.36,0,At Risk
12509,14,25,10278.25,2,Champions
12510,36,3,634.19,0,At Risk
12511,295,1,194.58,3,Hibernating
12512,73,3,521.97,0,At Risk
12513,7,34,7551.54,2,Champions
12514,275,1,56.28,3,Hibernating
12515,117,4,1575.29,0,At Risk
12516,101,4,591.74,0,At Risk
12517,227,1,174.78,3,Hibernating
12518,48,5,2644.02,1,Loyal Customers
12519,218,2,480.66,3,Hibernating
12520,282,1,123.66,3,Hibernating
12521,35,10,2139.68,1,Loyal Customers
12522,63,4,813.94,0,At Risk
